
2025-06-09 12:17:04 - Current Artist MP3 not found: 'R aharon walkin birkat', Source FILENAME: 'G:\Shiurim\R Aron Walkin ZTL\R aharon walkin birkat-kohanim-two-hands-birkat-habonim M.mp3'
2025-06-09 23:14:49 - Current Artist MP3 not found: 'Rav shabsi yudelevits', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\Dovid kushner\reb shabsai yudeluvitz M.mp3'
2025-06-10 11:11:59 - Current Artist MP3 not found: 'Rav shoshan', Source FILENAME: 'G:\Shiurim\From D\R Shushan Shlita Music Only Given for Radio not to trade\R Shushan Shlita Disk (8)\Ashreinu uma tov chelkeinu.mp3'
2025-06-10 16:07:19 - Current Artist MP3 not found: 'R' Baruch Chait & Acheinu', Source FILENAME: 'G:\Music\all 10 Teves music\Omdos Hayu M1.mp3'
2025-06-11 03:30:02 - Current Artist MP3 not found: 'rabbi yosef greenwald chagigah', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\PESACH READY\rabbi_yosef_greenwald_chagigah-9-korban-re-iyah-tashlumin M.mp3'
2025-06-11 03:58:11 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\Navi\05  יהושע פ_ג - the leading role of the ארון whilst crossing the ירדן.mp3'
2025-06-11 05:10:35 - Current Artist MP3 not found: 'Rabbis Sons', Source FILENAME: 'G:\Music\all 10 Teves music\Rabbis sons\Rabbis Sons-Greatest Hits-10-Ki Nicham ID2844.mp3'
2025-06-11 05:19:45 - Current Artist MP3 not found: 'Rav Naftali Beer', Source FILENAME: 'G:\Shiurim\Dopplet 3 weeks\Kol Halashon\Beer,  Harav Naftali\Yona, יונה, 1 Elul, 5771 M.mp3'
2025-06-11 11:21:17 - Current Artist MP3 not found: 'R shoshan', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\R shushan\Uzchor es boracha bimei bachurosecha.mp3'
2025-06-11 12:35:43 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\Navi\05  יהושע פ_ג - the leading role of the ארון whilst crossing the ירדן.mp3'
2025-06-11 18:52:18 - Current Artist MP3 not found: 'rabbi yaakov hillel the', Source FILENAME: 'G:\Music\From Toshiba K\To be transfered to another hard drive\Backup Shevat 5783\Data\R yakov hillel\Rabbi Yaakov Hillel Shlita\rabbi_yaakov_hillel_the-significance-of-living-in-the-kings-palace HM.mp3'
2025-06-12 02:06:52 - Current Artist MP3 not found: 'Rabbis Sons', Source FILENAME: 'G:\Music\all 10 Teves music\Rabbis sons\Rabbis Sons-Greatest Hits-10-Ki Nicham ID2844.mp3'
2025-06-12 02:10:21 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\Navi\05  יהושע פ_ג - the leading role of the ארון whilst crossing the ירדן.mp3'
2025-06-12 06:44:50 - Current Artist MP3 not found: 'Rav Naftali Beer', Source FILENAME: 'G:\Shiurim\Dopplet 3 weeks\Kol Halashon\Beer,  Harav Naftali\Ovadia, עובדיה, 22 Tamuz, 5771 M.mp3'
2025-06-12 12:15:48 - Current Artist MP3 not found: 'R Shushan', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\R shushan\Ein hamelech nosha brov chayil.mp3'
2025-06-12 13:45:13 - Current Artist MP3 not found: 'R. Michel Twerski', Source FILENAME: 'G:\Music\From Toshiba K\all Music h d\Music Alter\R. Michel Twerski\A Voice on High\I Modeh Ani - RMT.mp3'
2025-06-13 04:49:56 - Current Artist MP3 not found: 'Rav Binyomin Pruzansky', Source FILENAME: 'G:\Shiurim\R Binyomin Pruzansky\rabbi_binyomin_pruzansky_capturing-the-moment H.mp3'
2025-06-13 05:20:21 - Current Artist MP3 not found: 'Rabbis Sons', Source FILENAME: 'G:\Music\all 10 Teves music\Rabbis sons\Rabbis Sons-Greatest Hits-06-Hoiso Li ID2840.mp3'
2025-06-13 09:18:29 - Current Artist MP3 not found: 'R' Elimelech Biderman פרשת בהעלותך 5785 M', Source FILENAME: 'G:\Shiurim\R Elimelech Biderman\R' Elimelech Biderman  פרשת בהעלותך  5785 M.mp3'
2025-06-14 22:14:16 - Current Artist MP3 not found: 'R' Elimelech Biderman פרשת בהעלותך 5785 M', Source FILENAME: 'G:\Shiurim\R Elimelech Biderman\R' Elimelech Biderman  פרשת בהעלותך  5785 M.mp3'
2025-06-15 10:12:46 - Current Artist MP3 not found: 'Rav shoshan', Source FILENAME: 'G:\Shiurim\From D\R Shushan Shlita Music Only Given for Radio not to trade\R Shushan Shlita Disk (8)\Ashreinu uma tov chelkeinu.mp3'
2025-06-15 10:58:42 - Current Artist MP3 not found: 'R shoshan', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\R shushan\Uzchor es boracha bimei bachurosecha.mp3'
2025-06-15 22:36:27 - Current Artist MP3 not found: 'R' Baruch Chait & Acheinu', Source FILENAME: 'G:\Music\all 10 Teves music\Omdos Hayu M1.mp3'
2025-06-16 02:11:48 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\Torah Anywhere - Rabbi Y Sipper\116 מגילת רות - the unique מעלה of רות and M נושא בעול עם חבירו.mp3'
2025-06-16 13:40:41 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\Torah Anywhere - Rabbi Y Sipper\114 מגילת רות - the epic battle between דוד and גלית – the power of מסירות נפש.mp3'
2025-06-17 04:09:04 - Current Artist MP3 not found: 'Rav Moshe Gruenstein', Source FILENAME: 'G:\Shiurim\R Moshe Gruenstein\rabbi_moshe_gruenstein_when-all-else-fails-there-s-always-the-nuclear-option M.mp3'
2025-06-17 05:46:46 - Current Artist MP3 not found: 'Rav Naftali Beer', Source FILENAME: 'G:\Shiurim\Dopplet 3 weeks\Kol Halashon\Beer,  Harav Naftali\Yona, יונה, 1 Elul, 5771 M.mp3'
2025-06-18 03:13:17 - Current Artist MP3 not found: 'R gamliel rabinowitz sfira lag baomer 2 M', Source FILENAME: 'G:\Music\From Toshiba K\To be transfered to another hard drive\Backup Shevat 5783\Data\Approved 10 teives 5782 files\approved 10 teives 37 5782\R gamliel rabinowitz sfira lag baomer 2 M.mp3'
2025-06-18 03:36:04 - Current Artist MP3 not found: 'rabbi label lam lol', Source FILENAME: 'G:\Music\From Toshiba K\BH All Rabanim From TAT and From elsewere\R Label Lam Shlita\rabbi_label_lam_lol-lam-on-life-million-dollar-customer_29_07_2020.mp3'
